Title,Category,Author,Time,Date,Link
"WIKA Minta Suntikan Modal Negara Rp 6 Triliun, Kenapa?",Market,"Romys Binekasri, CNBC Indonesia",18:20,19 September 2023,https://www.cnbcindonesia.com/market/20230919163227-17-473796/wika-minta-suntikan-modal-negara-rp-6-triliun-kenapa
"Disebut Gadai APBN ke China, Staf Menkeu: Itu Pikiran Jorok!",News,"Arrijal Rachman, CNBC Indonesia",18:15,19 September 2023,https://www.cnbcindonesia.com/news/20230919175057-4-473833/disebut-gadai-apbn-ke-china-staf-menkeu-itu-pikiran-jorok
Libia Chaos! Ratusan Warga Demo Masalah Banjir,News,"CNBC Indonesia TV, CNBC Indonesia",18:15,19 September 2023,https://www.cnbcindonesia.com/news/20230919165304-8-473804/libia-chaos-ratusan-warga-demo-masalah-banjir
"Kecepatan Charge iPhone 15 Terungkap, Segini Doang?",Tech,"Intan Rakhmayanti Dewi, CNBC Indonesia",18:10,19 September 2023,https://www.cnbcindonesia.com/tech/20230919144518-37-473742/kecepatan-charge-iphone-15-terungkap-segini-doang
"Jaga Likuditas, Perbanas Minta BI Lakukan Ini",Market,"CNBC Indonesia TV, CNBC Indonesia",18:05,19 September 2023,https://www.cnbcindonesia.com/market/20230919175451-19-473834/jaga-likuditas-perbanas-minta-bi-lakukan-ini
Luhut: RI Gak Perlu Jadi Negara Super Power Militer!,News,"Firda Dwi Muliawati, CNBC Indonesia",18:05,19 September 2023,https://www.cnbcindonesia.com/news/20230919173315-4-473825/luhut-ri-gak-perlu-jadi-negara-super-power-militer
"Bedah Skema Gaji Terbaru PNS, Lebih Untung atau Boncos?",Research,"Aulia Mutiara Hatia Putri, CNBC Indonesia",18:00,19 September 2023,https://www.cnbcindonesia.com/research/20230919103855-128-473618/bedah-skema-gaji-terbaru-pns-lebih-untung-atau-boncos
Doa Berdagang Agar Laris & Pelanggan Datang Terus,Syariah,"Dany Mauriz Gibran, CNBC Indonesia",17:50,19 September 2023,https://www.cnbcindonesia.com/syariah/20230919153045-29-473763/doa-berdagang-agar-laris-pelanggan-datang-terus
Dirut BNI Buka-bukan Alasan di Balik Aksi Stock Split,Market,"Zefanya Aprilia, CNBC Indonesia",17:43,19 September 2023,https://www.cnbcindonesia.com/market/20230919174011-17-473829/dirut-bni-buka-bukan-alasan-di-balik-aksi-stock-split
Jurus Bank Sentral Jaga Likuiditas & Pertumbuhan Kredit Bank,Market,"CNBC Indonesia TV, CNBC Indonesia",17:43,19 September 2023,https://www.cnbcindonesia.com/market/20230919161610-19-473789/jurus-bank-sentral-jaga-likuiditas-pertumbuhan-kredit-bank
CNBC Indonesia TV,-,-,-,-,https://www.cnbcindonesia.com/tv
"Kebakaran Bromo Buat Negara Rugi Rp4 M, Ini Kata Sri Mulyani",News,"Arrijal Rachman, CNBC Indonesia",17:40,19 September 2023,https://www.cnbcindonesia.com/news/20230919161452-4-473790/kebakaran-bromo-buat-negara-rugi-rp4-m-ini-kata-sri-mulyani
"MSIG Life Bayar Klaim Rp 1,3 T, Diare hingga Tipes Terbanyak",Market,"Zefanya Aprilia, CNBC Indonesia",17:35,19 September 2023,https://www.cnbcindonesia.com/market/20230919145113-17-473746/msig-life-bayar-klaim-rp-13-t-diare-hingga-tipes-terbanyak
"Harga Terlalu Mahal, Saham TFAS Layak Dikoleksi?",Market,"CNBC Indonesia TV, CNBC Indonesia",17:30,19 September 2023,https://www.cnbcindonesia.com/market/20230919164847-19-473801/harga-terlalu-mahal-saham-tfas-layak-dikoleksi
"NASA Menyerah, Beberkan Kepala Alien dan UFO",Tech,"Novina Putri Bestari, CNBC Indonesia",17:30,19 September 2023,https://www.cnbcindonesia.com/tech/20230919143454-37-473734/nasa-menyerah-beberkan-kepala-alien-dan-ufo
"AS & China Bikin Was-was, Sri Mulyani Ungkap Kengerian Baru!",News,"Arrijal Rachman, CNBC Indonesia",17:25,19 September 2023,https://www.cnbcindonesia.com/news/20230919164650-4-473803/as-china-bikin-was-was-sri-mulyani-ungkap-kengerian-baru
Serbu! Mainan Anak di Transmart Mulai Rp 100 Ribuan Aja,News,"Eqqi Syahputra, CNBC Indonesia",17:24,19 September 2023,https://www.cnbcindonesia.com/news/20230919171910-4-473820/serbu-mainan-anak-di-transmart-mulai-rp-100-ribuan-aja
DPR Buka-bukaan Soal Nasib SKK Migas di Ujung Tanduk,News,"Verda Nano Setiawan, CNBC Indonesia",17:22,19 September 2023,https://www.cnbcindonesia.com/news/20230919171233-4-473819/dpr-buka-bukaan-soal-nasib-skk-migas-di-ujung-tanduk
"Sadar Asuransi Penting, Kenapa Banyak Warga RI Belum Punya?",Market,"Mentari Puspadini, CNBC Indonesia",17:20,19 September 2023,https://www.cnbcindonesia.com/market/20230919162040-17-473793/sadar-asuransi-penting-kenapa-banyak-warga-ri-belum-punya
Video: IHSG Ditutup Menguat Hingga RUPSLB BNI,Market,"CNBC Indonesia TV, CNBC Indonesia",17:19,19 September 2023,https://www.cnbcindonesia.com/market/20230919170151-19-473815/video-ihsg-ditutup-menguat-hingga-rupslb-bni
